suite,status,metric,value,unit,passed,details
ais31-p1-t0,passed,ais31_outcomes_passed,1,count,True,"{""outcome_count"": 1, ""failed_tests"": []}"
ais31-p1-t0,passed,ais31_consumed_bytes,393216,bytes,,"{""required_bits"": 3145728, ""untested_remainder_bytes"": 659648}"
ais31-p1-t0,passed,T0,True,outcome,True,"{""message"": ""Test T0 bestanden."", ""measurements"": []}"
ais31-p1-t1-t5,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p1-t1-t5,passed,ais31_consumed_bytes,652500,bytes,,"{""required_bits"": 5220000, ""untested_remainder_bytes"": 400364}"
ais31-p1-t1-t5,passed,T1,True,outcome,True,"{""message"": ""Test T1 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 19863}"
ais31-p1-t1-t5,passed,T2,True,outcome,True,"{""message"": ""Test T2 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 13181}"
ais31-p1-t1-t5,passed,T3,True,outcome,True,"{""message"": ""Test T3 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 202459}"
ais31-p1-t1-t5,passed,T4,True,outcome,True,"{""message"": ""Test T4 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 3541}"
ais31-p1-t1-t5,passed,T5,True,outcome,True,"{""message"": ""Test T5 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 30660}"
ais31-p2,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p2,passed,ais31_consumed_bytes,900000,bytes,,"{""required_bits"": 7200000, ""untested_remainder_bytes"": 152864}"
ais31-p2,passed,T6a,True,outcome,True,"{""message"": ""Testprozedur T6a bestanden."", ""measurements"": [{""abs_p1_minus_0_5"": 0.0017300000000000093, ""last_element"": 100000}]}"
ais31-p2,passed,T6b,True,outcome,True,"{""message"": ""Testprozedur T6b bestanden."", ""measurements"": [{""p_01"": 0.50008, ""p_11"": 0.49724, ""abs_p_01_minus_p_11"": 0.0028399999999999537, ""last_element"": 500482}]}"
ais31-p2,passed,T7a,True,outcome,True,"{""message"": ""Testprozedur T7a bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 0.1125002497618045}, {""index"": 1, ""value"": 0.3175202348379657}], ""last_element"": 1705474}]}"
ais31-p2,passed,T7b,True,outcome,True,"{""message"": ""Testprozedur T7b bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 0.16928065030854622}, {""index"": 1, ""value"": 0.012500001531250186}, {""index"": 2, ""value"": 3.924983542297647}, {""index"": 3, ""value"": 0.24200000348480005}], ""last_element"": 4916834}]}"
ais31-p2,passed,T8,True,outcome,True,"{""message"": ""Test T8 bestanden."", ""measurements"": [{""test_statistic"": 7.998200077482503, ""last_element"": 6985314}]}"
ent,passed,entropy,7.999818,bits_per_byte,,{}
ent,passed,file_bytes,1052864,bytes,,{}
ent,passed,optimum_compression_reduction,0.0,percent,,{}
ent,passed,chi_square_samples,1052864,samples,,{}
ent,passed,chi_square,266.66,,True,{}
ent,passed,chi_square_exceed_percent,29.53,percent,True,"{""qualifier"": """", ""level"": ""passed""}"
ent,passed,arithmetic_mean,127.636,,,{}
ent,passed,monte_carlo_pi,3.138850106,,,{}
ent,passed,monte_carlo_pi_error,0.09,percent,,{}
ent,passed,serial_correlation,-0.000961,,,{}
entropy-iid,passed,H_original,7.874756,bits,,{}
entropy-iid,passed,H_bitstring,0.99725,bits,,{}
entropy-iid,passed,"min(H_original, 8 X H_bitstring)",7.874756,bits,,{}
entropy-non-iid,passed,H_original,7.29539,bits,,{}
entropy-non-iid,passed,H_bitstring,0.888368,bits,,{}
entropy-non-iid,passed,"min(H_original, 8 X H_bitstring)",7.106943,bits,,{}
entropy-restart,passed,H_r,7.874756,bits,,{}
entropy-restart,passed,H_c,7.874756,bits,,{}
entropy-restart,passed,"min(H_r, H_c, H_I)",7.874756,bits,,{}
practrand,passed,total_tests_at_final_checkpoint,102,tests,True,{}
