suite,status,metric,value,unit,passed,details
ais31-p1-t0,passed,ais31_outcomes_passed,1,count,True,"{""outcome_count"": 1, ""failed_tests"": []}"
ais31-p1-t0,passed,ais31_consumed_bytes,393216,bytes,,"{""required_bits"": 3145728, ""untested_remainder_bytes"": 659648}"
ais31-p1-t0,passed,T0,True,outcome,True,"{""message"": ""Test T0 bestanden."", ""measurements"": []}"
ais31-p1-t1-t5,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p1-t1-t5,passed,ais31_consumed_bytes,652500,bytes,,"{""required_bits"": 5220000, ""untested_remainder_bytes"": 400364}"
ais31-p1-t1-t5,passed,T1,True,outcome,True,"{""message"": ""Test T1 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 19872}"
ais31-p1-t1-t5,passed,T2,True,outcome,True,"{""message"": ""Test T2 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 13165}"
ais31-p1-t1-t5,passed,T3,True,outcome,True,"{""message"": ""Test T3 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 202459}"
ais31-p1-t1-t5,passed,T4,True,outcome,True,"{""message"": ""Test T4 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 3541}"
ais31-p1-t1-t5,passed,T5,True,outcome,True,"{""message"": ""Test T5 bestanden."", ""_truncated"": true, ""_full_details"": ""manifest.json"", ""_original_json_bytes"": 30690}"
ais31-p2,passed,ais31_outcomes_passed,5,count,True,"{""outcome_count"": 5, ""failed_tests"": []}"
ais31-p2,passed,ais31_consumed_bytes,900000,bytes,,"{""required_bits"": 7200000, ""untested_remainder_bytes"": 152864}"
ais31-p2,passed,T6a,True,outcome,True,"{""message"": ""Testprozedur T6a bestanden."", ""measurements"": [{""abs_p1_minus_0_5"": 0.0013900000000000023, ""last_element"": 100000}]}"
ais31-p2,passed,T6b,True,outcome,True,"{""message"": ""Testprozedur T6b bestanden."", ""measurements"": [{""p_01"": 0.49777, ""p_11"": 0.50027, ""abs_p_01_minus_p_11"": 0.0025000000000000022, ""last_element"": 501386}]}"
ais31-p2,passed,T7a,True,outcome,True,"{""message"": ""Testprozedur T7a bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 1.7287302921686676}, {""index"": 1, ""value"": 1.104500120280063}], ""last_element"": 1706858}]}"
ais31-p2,passed,T7b,True,outcome,True,"{""message"": ""Testprozedur T7b bestanden."", ""measurements"": [{""test_statistics"": [{""index"": 0, ""value"": 0.1584203708462461}, {""index"": 1, ""value"": 1.8240841041892346}, {""index"": 2, ""value"": 0.033620208448654404}, {""index"": 3, ""value"": 0.04608022302827945}], ""last_element"": 4919762}]}"
ais31-p2,passed,T8,True,outcome,True,"{""message"": ""Test T8 bestanden."", ""measurements"": [{""test_statistic"": 7.999746075605017, ""last_element"": 6988242}]}"
ent,passed,entropy,7.999834,bits_per_byte,,{}
ent,passed,file_bytes,1052864,bytes,,{}
ent,passed,optimum_compression_reduction,0.0,percent,,{}
ent,passed,chi_square_samples,1052864,samples,,{}
ent,passed,chi_square,242.99,,True,{}
ent,passed,chi_square_exceed_percent,69.52,percent,True,"{""qualifier"": """", ""level"": ""passed""}"
ent,passed,arithmetic_mean,127.4768,,,{}
ent,passed,monte_carlo_pi,3.130575517,,,{}
ent,passed,monte_carlo_pi_error,0.35,percent,,{}
ent,passed,serial_correlation,-3.5e-05,,,{}
entropy-iid,passed,H_original,7.871996,bits,,{}
entropy-iid,passed,H_bitstring,0.997889,bits,,{}
entropy-iid,passed,"min(H_original, 8 X H_bitstring)",7.871996,bits,,{}
entropy-non-iid,passed,H_original,6.638405,bits,,{}
entropy-non-iid,passed,H_bitstring,0.905867,bits,,{}
entropy-non-iid,passed,"min(H_original, 8 X H_bitstring)",6.638405,bits,,{}
entropy-restart,passed,H_r,7.871996,bits,,{}
entropy-restart,passed,H_c,7.871996,bits,,{}
entropy-restart,passed,"min(H_r, H_c, H_I)",7.871996,bits,,{}
practrand,passed,total_tests_at_final_checkpoint,102,tests,True,{}
